ID,Name,test1_difficult,test1_like,test1_dislike,test2_difficult,test2_like,test2_dislike
56cc88ef3b61d3570d15a10c,Stas,,,,,,
56cde6e83b61d3570d15a1b0,Polina M.,,,,,,
56e146c6f52b965614cdc8c0,Lena,,,,,,
56bda25a489b27800f2c9356,Andrej,Nothing,It was very well made and the map looks cool ;),If the objects are at some distance from the camera it is difficult to get the right direction, as the transparent blue cone is rather short.,,,
56c74205a423e1e3662a2cf5,Zoe,When die Gebäude weit weg von der Aufnahmestandort waren.,Nice interface,Some Satellite images had artefacts,,,
56cb29a3d97ea1f51d42d396,Ana,,,,,,
56cb6df4d97ea1f51d42d397,Natalie,to locate the objects on the map and find the right angle,pictures and clear wording of the task,maps. sorry,finding the places in the unknown surroundings,the fact that many buildings are tagged on the map. This way one can always faster and easier find the way ,
56cc2d943b61d3570d15a0e2,Anastasia,Difficult:the absence of a trial version before you start the test,Like: All) interesting task to check the flexibility of the mind),Dislike: ,Difficult: ,Like: ,Dislike: 
56cc7f163b61d3570d15a0f7,Andrej2,Difficult:lalala difficult,Like: liked everything,Dislike: nothing,Difficult: --,Like: ++,Dislike: mäh
56cc8ce63b61d3570d15a10d,Natalia,Difficult:,Like: ,Dislike: ,Difficult: ,Like: ,Dislike: 
56cc95483b61d3570d15a122,Meik Wirsik,Difficult:Am Anfang brauchte ich etwas zeit um mich in der zweidimensionalen Karte im Vergleich zur Dreidimensionalität des gezeigten Ortes zurecht zufinden.,Like: Ich fand die Idee sehr kreativ und es hat mir Spaß gemacht.,Dislike: ,Difficult: ,Like: ,Dislike: 
56ccc4583b61d3570d15a137,Olga,Difficult:,Like: ,Dislike: ,Difficult: ,Like: ,Dislike: 
56ccd2593b61d3570d15a14c,,Difficult:,Like: ,Dislike: ,Difficult: ,Like: ,Dislike: 
56cd59f73b61d3570d15a161,Natalya,,,,,,
56cd5a4e3b61d3570d15a162,Natalya,,,,,,
56cd70663b61d3570d15a163,,,,,,,
56cda0333b61d3570d15a164,Moisan,Difficult:,Like: ,Dislike: ,Difficult: ,Like: ,Dislike: 
56cdd3873b61d3570d15a179,test,Difficult:ed,Like: ede,Dislike: ed,,,
56cdd4953b61d3570d15a186,Daniel Ummelmann,Difficult:,Like: It was interesting to think about the angle which was used to take the pictures. - Cool idea! ;),Dislike: ,Difficult: ,Like: ,Dislike: 
56cdd49c3b61d3570d15a187,Alex,Difficult:,Like: ,Dislike: ,Difficult: ,Like: ,Dislike: 
56ce01323b61d3570d15a1b1,Vladimir,,,,,,
56ce19783b61d3570d15a1b5,tatiana,Difficult:camera point sometime change location a bit, when try to tern it,Like: interesting and fun,Dislike: ,Difficult: ,Like: ,Dislike: 
56cec6743b61d3570d15a1ca,Svetlana,,,,,,
56ceeb363b61d3570d15a1cb,Kirill Maltsev,Difficult:Nothing.,Like: The instructions were very clear.,Dislike: Nothing.,Difficult: ,Like: ,Dislike: 
56cf14a23b61d3570d15a1e0,Saeedeh,Difficult:It challenges two different abilities: memories of the city, and spatial recognition. If the task is only about the second ability, it might be helpful to put some landmarks/name of the streets on the photos. If testing the first ability is also important, it should have been somehow separated from the second one. ,Like: I tried to use the angles between the streets to find the right camera angle, sometimes without knowing the place, or not being sure about the place. ,Dislike: ,Difficult: ,Like: ,Dislike: 
56cf5b783b61d3570d15a1f5,Yulia,,,,,,
56cf5c2e3b61d3570d15a1f6,Yulia,Difficult:,Like: ,Dislike: ,Difficult: ,Like: ,Dislike: 
56cf5ca43b61d3570d15a1f7,Petr,Difficult:On last image parts of satellite image scrambled and not useful for orientation,Like: Funny difference between look of buildings from different points of view,Dislike: ,Difficult: ,Like: ,Dislike: 
56d083e19352a7914a102f11,Test4,,,,,,
56d0840f9352a7914a102f12,TestGoood,,,,,,
56d086669352a7914a102f13,test,Difficult:dd,Like: ,Dislike: ,Difficult: ,Like: ,Dislike: 
56d08aa39352a7914a102f28,Julia Vakulenko,,,,,,
56d08cb09352a7914a102f2a,Nadezhda,Difficult:,Like: ,Dislike: ,Difficult: ,Like: ,Dislike: 
56d09a9b9352a7914a102f3f,Samuel,Difficult:The map rotation looks odd,Like: ,Dislike: ,Difficult: ,Like: ,Dislike: 
56d09ac49352a7914a102f40,,Difficult:I was using the blue camera "beam" as a guide to find the locations/houses at the edges of the image. 


Some images didn't provide enough visual clues to do this, and I think the field of view didn't quite match it in all images (not sure though). ,Like: It is well implemented and easy to use. Zoom levels on the areas were well chosen, and the difficulties in determining the right angle in images became clear to me, at least, in some images. Very interesting.,Dislike: Holding shift was a bit uncomfortable, I wish the "rotation-mode" would be toggled on the whole time during this test because zooming and panning wasn't really necessary anyways.,Difficult: Some houses were continuous, but shown as two or more on the OSM map (the REWE images for example). For some images I had wished for a higher resolution image, like the starting image (Aasee Mensa image). Satellite imagery was sometimes helpful in distinguishing houses, I was trying to use the roof color and shape as a guide, but the overlay blocked that too much.,Like: Again, well implented. Very intuitive.,Dislike: -
56d0a2209352a7914a102f69,Yusi Ji,,,,,,
56d0a9d19352a7914a102f6a,Paul Schaub,Difficult:It felt like I was mistaking left and right when pointing to the objects using the circle.
